row_id,stem摘要,提议case_group_id,提议subquestion_index,归属证据,置信度,case_group_fingerprint,row_granularity,gen,group_size,group_distinct_indexes,index_duplicated,index_answer_conflict,group_contiguous,exam_year,original_id,source_chunk_id,has_answer
13881,事件一中，施工单位对施工总进度计划还需补充哪些内容？,2015-case1,1,bg_fp=95a01714a59a8506(bg509字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,95a01714a59a8506,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_1_Q1,,True
13882,绘制事件二中调整后的施工进度计划网络图( 双代号)，指出其关键线路( 用工作 表示)，并计算其总工期( 单位：月)。,2015-case1,2,bg_fp=95a01714a59a8506(bg509字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,95a01714a59a8506,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_1_Q2,,True
13883,事件三中，分别指出施工单位提出的两项工期索赔和两项费用索赔是否成立，并说 明理由。,2015-case1,3,bg_fp=95a01714a59a8506(bg509字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,95a01714a59a8506,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_1_Q3,,True
13884,事件四中，该专项方案是否需要组织专家论证？该梁跨中底模的最小起拱高度、跨 中混凝土浇筑高度分别是多少( 单位：mm)。,2015-case1,4,bg_fp=95a01714a59a8506(bg509字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,95a01714a59a8506,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_1_Q4,,True
13885,事件一中，高层钢结构安装前现场的施工准备还应检查哪些工作？钢构件现场堆场 应具备哪些基本条件？,2015-case2,1,bg_fp=fc2b1b8e8d446620(bg456字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,fc2b1b8e8d446620,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_2_Q1,,True
13886,事件二中，建筑幕墙与各楼层楼板间的缝隙隔离的主要防火构造做法是什么？幕墙 工程中有关安全和功能的检测项目有哪些？,2015-case2,2,bg_fp=fc2b1b8e8d446620(bg456字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,fc2b1b8e8d446620,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_2_Q2,,True
13887,事件三中，指出防水节点施工图做法图示中的错误？,2015-case2,3,bg_fp=fc2b1b8e8d446620(bg456字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,fc2b1b8e8d446620,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_2_Q3,,True
13888,事件四中，新型保温材料使用前还应有哪些程序性工程？节能分部工程的验收组织 有什么不妥？,2015-case2,4,bg_fp=fc2b1b8e8d446620(bg456字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,fc2b1b8e8d446620,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_2_Q4,,True
13889,事件一中。按照《危险性较大的部门分项工程安全管理办法》( 建质[2009]87 号) 规定，本工程还应单独编制哪些专项施工方案？,2015-case3,1,bg_fp=b7e184bdaea98eaa(bg454字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,b7e184bdaea98eaa,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_3_Q1,,True
13890,事件二中，除违章作业外，针对操作行为检查的“三违”巡查还应包括哪些内容？ 混凝土内支撑还可以采用哪几类拆除方法？,2015-case3,2,bg_fp=b7e184bdaea98eaa(bg454字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,b7e184bdaea98eaa,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_3_Q2,,True
13891,写出事件三中技术交底的不妥之处，并说明楼层卸料平台上安全防护与管理的具体 措施。,2015-case3,3,bg_fp=b7e184bdaea98eaa(bg454字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,b7e184bdaea98eaa,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_3_Q3,,True
13892,事件四中，施工单位对事故责任人的处理做法是否妥当？并说明理由。事故调查组 应还有哪些单位派员参加？,2015-case3,4,bg_fp=b7e184bdaea98eaa(bg454字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,b7e184bdaea98eaa,single_subquestion,g0_xw,4,4,False,False,True,2015,XW_2015_CASE_3_Q4,,True
13893,事件一中，为配合建设单位办理施工许可证，总承包单位需要完成哪些保证工程质 量和安全的技术文件与手续？,2015-case4,1,bg_fp=20e0da5737feaf8c(bg751字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,20e0da5737feaf8c,single_subquestion,g0_xw,5,5,False,False,True,2015,XW_2015_CASE_4_Q1,,True
13894,指出事件中的不妥之处，并说明正确做法，编制《项目管理目标责任书》的依据有 哪些？,2015-case4,2,bg_fp=20e0da5737feaf8c(bg751字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,20e0da5737feaf8c,single_subquestion,g0_xw,5,5,False,False,True,2015,XW_2015_CASE_4_Q2,,True
13895,事件三中，列出计算采购费用和储存费用之和，并确定总承包单位应选择哪种采购 方案？现金流量表中应包括哪些活动产生的现金流量？,2015-case4,3,bg_fp=20e0da5737feaf8c(bg751字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,20e0da5737feaf8c,single_subquestion,g0_xw,5,5,False,False,True,2015,XW_2015_CASE_4_Q3,,True
13896,事件四中，列式计算工程预付款、工程预付款起扣点( 单位：万元，保留小数点后 两位)。总承包单位的哪些索赔成立。,2015-case4,4,bg_fp=20e0da5737feaf8c(bg751字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,20e0da5737feaf8c,single_subquestion,g0_xw,5,5,False,False,True,2015,XW_2015_CASE_4_Q4,,True
13897,支出事件五中的不妥之处，并说明正确做饭，按照劳务实名制管理劳务公司还应该 将哪些资料的复印件报总承包单位备案？,2015-case4,5,bg_fp=20e0da5737feaf8c(bg751字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,20e0da5737feaf8c,single_subquestion,g0_xw,5,5,False,False,True,2015,XW_2015_CASE_4_Q5,,True
13828,指出桩基施工方案中的错误之处，并分別写出相应的正确做法。,2016-case1,1,bg_fp=9f29c88c27ee9c5e(bg644字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,9f29c88c27ee9c5e,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_1_Q1,,True
13829,变形测量发现异常情兄后，第三方测量单位应及时采取哪些措施？针对变形测量， 除基坑周边地表出现明显裂缝外，还有哪些异常情况也应立即报告委托方？,2016-case1,2,bg_fp=9f29c88c27ee9c5e(bg644字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,9f29c88c27ee9c5e,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_1_Q2,,True
13830,参照下图图示，在答题卡上相应位置绘制标准层装修的流水施工橫道图。 施工进度( 周) 施工过程 10 工序① 工序② 工序③,2016-case1,3,bg_fp=9f29c88c27ee9c5e(bg644字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,9f29c88c27ee9c5e,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_1_Q3,,True
13831,分别判断施工单位提出的两项费用索赔是否成立，并写出相应理由。,2016-case1,4,bg_fp=9f29c88c27ee9c5e(bg644字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,9f29c88c27ee9c5e,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_1_Q4,,True
13832,监理工程师同意地下室顶板拆模是否正确？背景资料中地下室顶板预应力梁拆除底 模及支架的前罝条件有哪些？,2016-case2,1,bg_fp=162868ae2c39c1f7(bg617字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,162868ae2c39c1f7,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_2_Q1,,True
13833,本题中的质量事故属于哪个等级？指出事故上报的不妥之处，质量事故报告还应包 括哪些内容？,2016-case2,2,bg_fp=162868ae2c39c1f7(bg617字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,162868ae2c39c1f7,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_2_Q2,,True
13834,除背景资料已明确的焊接参数组合条件外，还有哪些参数的组合条件也需要进行焊 接工艺评定？,2016-case2,3,bg_fp=162868ae2c39c1f7(bg617字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,162868ae2c39c1f7,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_2_Q3,,True
13835,针对背景资料中填充墙砌体施工的不妥之处，写出相应的正确做法。,2016-case2,4,bg_fp=162868ae2c39c1f7(bg617字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,162868ae2c39c1f7,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_2_Q4,,True
13836,本工程至少应配置几名专职安全员。根据《住房和城乡建设部关于印发建筑施工企 业主要负责人、项目负责人和专职安全生产管理人员安全生产管理规定实施意见的通知》 (2015-206 号)，项目经理部配置的专职安全员是否妥当？并说明理由？,2016-case3,1,bg_fp=962c7d8cc426ab82(bg405字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,962c7d8cc426ab82,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_3_Q1,,True
13837,对于施工总承包单位编制的防汛应急救援预案，专业承包单位应如何执行？,2016-case3,2,bg_fp=962c7d8cc426ab82(bg405字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,962c7d8cc426ab82,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_3_Q2,,True
13838,指出背景资料中脚手架搭设的错误之处,2016-case3,3,bg_fp=962c7d8cc426ab82(bg405字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,962c7d8cc426ab82,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_3_Q3,,True
13839,按照《建筑施工安全检查标准》(JGJ59—2011)，现场高处作业检查的项目还应补 充哪些？,2016-case3,4,bg_fp=962c7d8cc426ab82(bg405字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,962c7d8cc426ab82,single_subquestion,g0_xw,4,4,False,False,True,2016,XW_2016_CASE_3_Q4,,True
13840,双方签订合同的行为是否违法？双方签订的哪份合同有效？施工单位遇到此类现象 时，需要把握哪些关键点？,2016-case4,1,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q1,,True
13841,工程图纸会审还应该有哪些单位参加？项目经理部进行图纸交底工作的目的是什 么？,2016-case4,2,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q2,,True
13842,项目经理部制定项目成本计划的依据有哪些？施工至第几个月时项目累计现金流为 正？该月的累计净现金流是多少万元？,2016-case4,3,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q3,,True
13843,截止2013 年12 月末，本项目的合同完工进度是多少？建造合同收入是多少万元( 保 留小数点后两位) ？资金供应需要考虑哪些条件？,2016-case4,4,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q4,,True
13844,招标单位应对哪些招标工程量清单总体要求负责？除工程量清单漏项外，还有哪些 情况允许调整招标工程量清单所列工程量？依据本合同原则计算一层公共区域楼地面面层 的综合单价( 单位：元/m2) 及总价( 单位：万元，保留小数点后两位) 分别是多少？,2016-case4,5,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q5,,True
13845,在本项目的竣工验收备案工作中，施工总承包单位还要向建设单位提交哪些文件？,2016-case4,6,bg_fp=f215b0be1a7618dd(bg959字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,f215b0be1a7618dd,single_subquestion,g0_xw,6,6,False,False,True,2016,XW_2016_CASE_4_Q6,,True
13846,指出项目施工组织设计，外脚手架施工方案，塔吊安转拆卸方案编制，审批的不妥 之处，并写出相应的正确做法。,2016-case5,1,bg_fp=3bc42dc5f293f1d4(bg634字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,3bc42dc5f293f1d4,single_subquestion,g0_xw,5,5,False,False,True,2016,XW_2016_CASE_5_Q1,,True
13847,指出施工现场消防技术方案的不妥之处，并写出相应的正确做法；施工总用水量是 多少( 单位：L/s) ？施工用水主管的计算管径是多少( 单位mm，保留两位小数) ？,2016-case5,2,bg_fp=3bc42dc5f293f1d4(bg634字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,3bc42dc5f293f1d4,single_subquestion,g0_xw,5,5,False,False,True,2016,XW_2016_CASE_5_Q2,,True
13848,题中同条件养护试件的做法有何不妥？并写出正确做法。第5 层C30 混凝土同条件 养护试件的强度代表值是多少？,2016-case5,3,bg_fp=3bc42dc5f293f1d4(bg634字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,3bc42dc5f293f1d4,single_subquestion,g0_xw,5,5,False,False,True,2016,XW_2016_CASE_5_Q3,,True
13849,分别指出项目塔吊基础设计计算和构造中的不妥之处？并写出正确做法。,2016-case5,4,bg_fp=3bc42dc5f293f1d4(bg634字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,3bc42dc5f293f1d4,single_subquestion,g0_xw,5,5,False,False,True,2016,XW_2016_CASE_5_Q4,,True
13850,分别写出项目所在地和企业工商注册所在地建设行政主管部门对施工企业诚信行为 记录的管理内容有哪些？,2016-case5,5,bg_fp=3bc42dc5f293f1d4(bg634字)|idx_src=oid_xw_Q|gen=g0_xw|case_no_src=oid_xw_CASE,high,3bc42dc5f293f1d4,single_subquestion,g0_xw,5,5,False,False,True,2016,XW_2016_CASE_5_Q5,,True
9104,1. 背景资料中，需要进行专家论证的专项施工方案有哪些？排桩支护结构方式还有哪些？,2017-case6,1,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=第2题|case_hash8=26ceb556,high,48e67311a62c5e57,single_subquestion,g2_exam_chunk,10,5,True,False,True,2017,EXAM_1A434000_P0017_01_CASE_26ceb556,EXAM_1A434000_P0017_01,True
17088,1. 背景资料中，需要进行专家论证的专项施工方案有哪些？排桩支护结构方式还有哪些？,2017-case6,1,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g3_exam_year,10,5,True,False,True,2017,EXAM_2017_1A434000_5b1d2432,,True
8744,2. 指出图5中措施做法的不妥之处。正常情况下，现场临时配电系统停电的顺序是什么？,2017-case6,2,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g1_auto,10,5,True,False,True,2017,AUTO_06b4a7441219710a,,True
17089,2. 指出图5中措施做法的不妥之处。正常情况下，现场临时配电系统停电的顺序是什么？,2017-case6,2,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g3_exam_year,10,5,True,False,True,2017,EXAM_2017_1A434000_7a917d41,,True
