row_id,stem摘要,原因分类,row_granularity,source_type,exam_year,original_id,bg_len,所属组(若已定),整题行span,has_answer
9096,【背景资料】某新建别墅群项目，总建筑面积 45000m²，各幢别墅均为地下 1 层，地上 3 层，砖混结构。某施工总承包单位项目部按幢编制了单幢工程施工进度计划。某幢计划工期为 180d，施工进度计划见图 1。 现场监理工程师在审核该进度计划后，要求施工单位制定进度计划和包括材料,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_1A433000_P0009_01_CASE_cb41e405,520,2017-case1,"[1, 4]",True
9097,某新建别墅群项目，总建筑面积45000m²，各幢别墅均为地下1层，地上3层，砖混结构。某施工总承包单位项目部按幢编制了单幢工程施工作业进度计划。某幢计划工期为180d，施工进度计划见图1。现场监理工程师在审核该进度计划后，要求施工单位制定进度计划和包括材料需求计划在内的资源需求计,整题行(一行含问题1~3)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_1A433000_P0010_04_CASE_b470326f,538,2017-case1,"[1, 3]",True
17079,【背景资料】某新建别墅群项目，总建筑面积 45000m²，各幢别墅均为地下 1 层，地上 3 层，砖混结构。某施工总承包单位项目部按幢编制了单幢工程施工进度计划。某幢计划工期为 180d，施工进度计划见图 1。 现场监理工程师在审核该进度计划后，要求施工单位制定进度计划和包括材料,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_2017_1A433000_2d338b24,520,2017-case1,"[1, 4]",True
17080,某新建别墅群项目，总建筑面积45000m²，各幢别墅均为地下1层，地上3层，砖混结构。某施工总承包单位项目部按幢编制了单幢工程施工作业进度计划。某幢计划工期为180d，施工进度计划见图1。现场监理工程师在审核该进度计划后，要求施工单位制定进度计划和包括材料需求计划在内的资源需求计,整题行(一行含问题1~3)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_2017_1A433000_6e0c0a7f,538,2017-case1,"[1, 3]",True
9098,【背景资料】某新建住宅工程项目，建筑面积 23000m²，地下 2 层，地上 18 层，现浇钢筋混凝土剪力墙结构，项目实行项目总承包管理。 施工总承包单位项目部技术负责人组织编制了项目质量计划，由项目经理审核后报监理单位审批，该质量计划要求建立的施工过程质量管理记录有：使用机具的,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_1A434000_P0010_02_CASE_88a93cfa,390,2017-case2,"[1, 4]",True
9099,【背景资料】 某新建住宅工程项目，建筑面积 23000m²，地下 2 层，地上 18 层，现浇钢筋混凝土剪力墙结构，项目实行项目总承包管理。 施工总承包单位项目部技术负责人组织编制了项目质量计划，由项目经理审核后报监理单位审批，该质量计划要求建立的施工过程质量管理记录有：使用机具,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_1A434000_P0011_01_CASE_84ee4b91,392,2017-case2,"[1, 4]",True
17082,【背景资料】某新建住宅工程项目，建筑面积 23000m²，地下 2 层，地上 18 层，现浇钢筋混凝土剪力墙结构，项目实行项目总承包管理。 施工总承包单位项目部技术负责人组织编制了项目质量计划，由项目经理审核后报监理单位审批，该质量计划要求建立的施工过程质量管理记录有：使用机具的,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_2017_1A434000_ec9b1bf4,390,2017-case2,"[1, 4]",True
17083,【背景资料】 某新建住宅工程项目，建筑面积 23000m²，地下 2 层，地上 18 层，现浇钢筋混凝土剪力墙结构，项目实行项目总承包管理。 施工总承包单位项目部技术负责人组织编制了项目质量计划，由项目经理审核后报监理单位审批，该质量计划要求建立的施工过程质量管理记录有：使用机具,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_2017_1A434000_c0e52ca3,392,2017-case2,"[1, 4]",True
9100,【背景资料】 某新建仓储工程，建筑面积 8000m²，地下 1 层，地上 1 层，采用钢筋混凝土筏板基础，建筑高度 12m；地下室为钢筋混凝土框架结构，地上部分为钢结构；筏板基础混凝土等级为 C30，内配双层钢筋网、主筋为Φ20 螺纹钢，基础筏板下三七灰土夯实，无混凝土垫层。 施,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_1A436000_P0012_02_CASE_860d661a,479,2017-case3,"[1, 4]",True
17085,【背景资料】 某新建仓储工程，建筑面积 8000m²，地下 1 层，地上 1 层，采用钢筋混凝土筏板基础，建筑高度 12m；地下室为钢筋混凝土框架结构，地上部分为钢结构；筏板基础混凝土等级为 C30，内配双层钢筋网、主筋为Φ20 螺纹钢，基础筏板下三七灰土夯实，无混凝土垫层。 施,整题行(一行含问题1~4)，不是单个小问，subquestion_index 应留空,whole_case,REAL_EXAM,2017,EXAM_2017_1A436000_561ebb9e,479,2017-case3,"[1, 4]",True
