slot,capability_id,capability_title,primary_taxonomy_ref,primary_taxonomy_name,existing_mother_topics,coverage_strength,exam_evidence_hits_candidate,overlap_existing_mother_topics,overlap_registry_capabilities,missing_capability_names,worth_adding,recommended_action,decision_rationale
1,J01,危大工程范围 + 专项方案 + 专家论证,1A431030-E01,危大工程专家论证——主要内容,J01,strong_direct,94,,,,no,retain_existing,已有独立母题，不新增同义包
2,S01,脚手架/高大模板支架验收,1A436032,脚手架工程安全管理要点,S01,broad_composite,,,,,no,refine_existing_composite,已有组合母题；先收窄主辅能力边界
3,S02,起重吊装安全,1A436000-B006,“起重吊装”检查评定保证项目应包括,S02,source_grounded_exam_unmeasured,,,,,no,retain_existing,已有独立母题，不新增同义包
4,C02,进度款/计量计价,1A432000-C17,工程进度款的支付,C02,strong_direct,74,,E02,,no,retain_existing,已有独立母题，不新增同义包
5,B02,基坑支护选型与降水/监测,1A413022,基坑支护工程施工,B02,broad_composite,79,G01,G01；G05,,no,refine_existing_composite,已有组合母题；先收窄主辅能力边界
6,Q01,混凝土养护与裂缝防治,1A413040-R28,混凝土养护,Q01,strong_direct,96,,,,no,retain_existing,已有独立母题，不新增同义包
7,A01,检验批/分部分项验收程序,1A434020-B018,检验批、分项工程、分部（子分部）工程验收内容,A01,source_grounded_exam_unmeasured,,A02,A02,,no,retain_existing,已有独立母题，不新增同义包
8,N01,双代号网络计划关键线路/总时差,1A433000-B041,网络计划时差、关键工作与关键线路,N01,strong_direct,27,N02,N02；N04,,no,retain_existing,已有独立母题，不新增同义包
9,K01,索赔成立与工期/费用计算,1A432000-B001,① 工期索赔计算,K01,broad_composite,55,,K05；K06,,no,refine_existing_composite,已有组合母题；先收窄主辅能力边界
10,Q03,质量通病: 蜂窝麻面/空鼓裂缝,1A434030,工程质量通病防治,Q03,coarse_boundary,50,C01,C01；D16,,no,refine_existing_boundary,已有母题；先补精确 leaf/source 边界
11,C04,模板拆除顺序与条件,1A413040-R25,模板拆除要求,C04,strong_direct,142,,,,no,retain_existing,已有独立母题，不新增同义包
12,Q02,大体积混凝土温控裂缝,1A413074,大体积混凝土施工,Q02,strong_direct,64,,,,no,retain_existing,已有独立母题，不新增同义包
13,C01,施工缝留置与处理,1A413040-R20,施工缝和后浇带,C01,strong_direct,18,Q03,Q03,,no,retain_existing,已有独立母题，不新增同义包
14,C05,钢筋连接选用,1A413040-R44,钢筋连接,C05,strong_direct,203,,,,no,retain_existing,已有独立母题，不新增同义包
15,C06,砌体留槎与构造柱,1A413081,砖砌体工程,C06,coarse_boundary,45,,,,no,refine_existing_boundary,已有母题；先补精确 leaf/source 边界
16,C07,钢结构连接: 焊接/高强螺栓,1A413043,钢结构工程施工,C07,strong_direct,69,,,,no,retain_existing,已有独立母题，不新增同义包
17,S05,临时用电: 三级配电两级保护,1A431050,施工临时用电,S05,strong_direct,41,,,,no,retain_existing,已有独立母题，不新增同义包
18,S06,高处作业/临边洞口防护,1A436035,高处作业安全管理要点,S06,strong_direct,67,,,,no,retain_existing,已有独立母题，不新增同义包
19,S07,安全事故等级判定与上报,1A436000-B023,伤亡事故等级,S07,coarse_boundary,27,,,,no,refine_existing_boundary,已有母题；先补精确 leaf/source 边界
20,N02,网络计划工期优化与赶工费用,1A433000-B042,网络计划的优化,N02,strong_direct,32,N01,N01；N04,,no,retain_existing,已有独立母题，不新增同义包
21,D11,抹灰工序与质量控制,1A434030-E01,装饰装修——抹灰工程,D11,strong_direct,68,,,,no,retain_existing,已有独立母题，不新增同义包
22,D12,饰面砖/板施工质量与空鼓防治,1A413064,墙体饰面工程施工,D12,broad_composite,58,D14,D14,,no,refine_existing_composite,已有组合母题；先收窄主辅能力边界
23,D13,幕墙防火/防雷/层间封堵构造,1A413134,建筑幕墙防火、防雷和成品保护技术要求,D13,strong_direct,30,,R04,,no,retain_existing,已有独立母题，不新增同义包
24,D14,吊顶/门窗/地面装饰质量综合,1A413062,吊顶工程施工,D14,broad_composite,75,D12,D12；D15；D16,,no,refine_existing_composite,已有组合母题；先收窄主辅能力边界
25,G01,基坑开挖与降水方法选择,1A413037,土方开挖,G01,strong_direct,23,B02,B02,,no,retain_existing,已有独立母题，不新增同义包
26,G02,土方回填压实与检测,1A413039,土方回填,G02,strong_direct,29,,,,no,retain_existing,已有独立母题，不新增同义包
27,G03,桩基施工与质量问题,1A413032,桩基础施工,G03,strong_direct,42,,,,no,retain_existing,已有独立母题，不新增同义包
28,G04,地基验槽与地基处理,1A413048,天然地基验槽,G04,strong_direct,25,,,,no,retain_existing,已有独立母题，不新增同义包
